Date,Initials,Treatment,myVar,NoMainStems,Stem Height (cm)
8/26/2020,LW,A,300,5,46.5
8/26/2020,LW,A,300,5,54.3
8/26/2020,LW,A,300,5,29.5
8/26/2020,LW,A,300,5,28.3
8/26/2020,LW,A,300,5,14.4
8/26/2020,LW,A,225,3,49.2
8/26/2020,LW,A,225,3,49.1
8/26/2020,LW,A,225,3,80.5
8/26/2020,LW,A,84,4,63.5
8/26/2020,LW,A,84,4,55.1
8/26/2020,LW,A,84,4,89.6
8/26/2020,LW,A,84,4,26.9
8/26/2020,LW,A,59,3,89.5
8/26/2020,LW,A,59,3,67.5
8/26/2020,LW,A,59,3,69.2
8/26/2020,LW,A,163,5,59.6
8/26/2020,LW,A,163,5,77
8/26/2020,LW,A,163,5,57.5
8/26/2020,LW,A,163,5,23.4
8/26/2020,LW,A,163,5,19.4
8/26/2020,LW,A,31,3,41.2
8/26/2020,LW,A,31,3,51.4
8/26/2020,LW,A,31,3,51.5
8/26/2020,LW,A,253,3,15.3
8/26/2020,LW,A,253,3,69.5
8/26/2020,LW,A,253,3,71.6
8/26/2020,LW,A,373,4,32.2
8/26/2020,LW,A,373,4,32.4
8/26/2020,LW,A,373,4,59
8/26/2020,LW,A,373,4,78.5
8/26/2020,LW,A,353,6,65.8
8/26/2020,LW,A,353,6,67.4
8/26/2020,LW,A,353,6,53
8/26/2020,LW,A,353,6,78.5
8/26/2020,LW,A,353,6,79.9
8/26/2020,LW,A,353,6,22.8
8/26/2020,LW,A,68,3,63.5
8/26/2020,LW,A,68,3,64.9
8/26/2020,LW,A,68,3,44.2
8/26/2020,LW,C,235,5,41.3
8/26/2020,LW,C,235,5,42.2
8/26/2020,LW,C,235,5,53.2
8/26/2020,LW,C,235,5,18
8/26/2020,LW,C,235,5,57
8/26/2020,LW,C,190,3,37.5
8/26/2020,LW,C,190,3,29.1
8/26/2020,LW,C,190,3,20.2
8/26/2020,LW,C,308,7,44.5
8/26/2020,LW,C,308,7,28.6
8/26/2020,LW,C,308,7,40.2
8/26/2020,LW,C,308,7,37.4
8/26/2020,LW,C,308,7,56.2
8/26/2020,LW,C,308,7,20.2
